Run Script Log: hidden_state = 256, input_state = 256, epoch = 20, data rows = 13679, save path = save/model_256.tch
You should call this after loading model parameters
Start train, epoch = 20
Start epoch0
Inited s-bert model using paraphrase-distilroberta-base-v1
466/13679, now: 2021-01-10 20:31:28
467/13679, now: 2021-01-10 20:31:30
468/13679, now: 2021-01-10 20:31:31
469/13679, now: 2021-01-10 20:31:33
470/13679, now: 2021-01-10 20:31:34
471/13679, now: 2021-01-10 20:31:38
472/13679, now: 2021-01-10 20:31:40
473/13679, now: 2021-01-10 20:31:41
474/13679, now: 2021-01-10 20:31:44
475/13679, now: 2021-01-10 20:31:44
476/13679, now: 2021-01-10 20:31:45
477/13679, now: 2021-01-10 20:31:45
478/13679, now: 2021-01-10 20:31:46
479/13679, now: 2021-01-10 20:31:47
480/13679, now: 2021-01-10 20:31:49
481/13679, now: 2021-01-10 20:31:49
482/13679, now: 2021-01-10 20:31:50
483/13679, now: 2021-01-10 20:31:54
484/13679, now: 2021-01-10 20:31:55
485/13679, now: 2021-01-10 20:31:56
486/13679, now: 2021-01-10 20:31:57
487/13679, now: 2021-01-10 20:31:58
488/13679, now: 2021-01-10 20:31:59
489/13679, now: 2021-01-10 20:32:04
490/13679, now: 2021-01-10 20:32:05
491/13679, now: 2021-01-10 20:32:06
492/13679, now: 2021-01-10 20:32:06
493/13679, now: 2021-01-10 20:32:10
494/13679, now: 2021-01-10 20:32:15
495/13679, now: 2021-01-10 20:32:16
496/13679, now: 2021-01-10 20:32:16
497/13679, now: 2021-01-10 20:32:17
498/13679, now: 2021-01-10 20:32:18
499/13679, now: 2021-01-10 20:32:18
500/13679, now: 2021-01-10 20:32:20
501/13679, now: 2021-01-10 20:32:24
502/13679, now: 2021-01-10 20:32:24
503/13679, now: 2021-01-10 20:32:25
504/13679, now: 2021-01-10 20:32:27
505/13679, now: 2021-01-10 20:32:28
506/13679, now: 2021-01-10 20:32:28
507/13679, now: 2021-01-10 20:32:31
508/13679, now: 2021-01-10 20:32:31
509/13679, now: 2021-01-10 20:32:31
510/13679, now: 2021-01-10 20:32:32
511/13679, now: 2021-01-10 20:32:35
512/13679, now: 2021-01-10 20:32:36
513/13679, now: 2021-01-10 20:32:38
514/13679, now: 2021-01-10 20:32:38
515/13679, now: 2021-01-10 20:32:39
516/13679, now: 2021-01-10 20:32:40
517/13679, now: 2021-01-10 20:32:41
518/13679, now: 2021-01-10 20:32:44
519/13679, now: 2021-01-10 20:32:46
520/13679, now: 2021-01-10 20:32:48
521/13679, now: 2021-01-10 20:32:58
522/13679, now: 2021-01-10 20:32:59
523/13679, now: 2021-01-10 20:33:00
524/13679, now: 2021-01-10 20:33:00
525/13679, now: 2021-01-10 20:33:01
526/13679, now: 2021-01-10 20:33:02
527/13679, now: 2021-01-10 20:33:07
528/13679, now: 2021-01-10 20:33:09
529/13679, now: 2021-01-10 20:33:10
530/13679, now: 2021-01-10 20:33:10
531/13679, now: 2021-01-10 20:33:11
532/13679, now: 2021-01-10 20:33:14
533/13679, now: 2021-01-10 20:33:15
534/13679, now: 2021-01-10 20:33:23
535/13679, now: 2021-01-10 20:33:24
536/13679, now: 2021-01-10 20:33:25
537/13679, now: 2021-01-10 20:33:26
538/13679, now: 2021-01-10 20:33:26
539/13679, now: 2021-01-10 20:33:27
540/13679, now: 2021-01-10 20:33:30
541/13679, now: 2021-01-10 20:33:30
542/13679, now: 2021-01-10 20:33:31
543/13679, now: 2021-01-10 20:33:32
544/13679, now: 2021-01-10 20:33:32
545/13679, now: 2021-01-10 20:33:33
546/13679, now: 2021-01-10 20:33:34
547/13679, now: 2021-01-10 20:33:35
548/13679, now: 2021-01-10 20:33:38
549/13679, now: 2021-01-10 20:33:38
550/13679, now: 2021-01-10 20:33:42
551/13679, now: 2021-01-10 20:33:43
552/13679, now: 2021-01-10 20:33:44
553/13679, now: 2021-01-10 20:33:44
554/13679, now: 2021-01-10 20:33:44
555/13679, now: 2021-01-10 20:33:45
556/13679, now: 2021-01-10 20:33:49
557/13679, now: 2021-01-10 20:33:50
558/13679, now: 2021-01-10 20:33:51
559/13679, now: 2021-01-10 20:33:54
560/13679, now: 2021-01-10 20:33:59
